1,client_id,client_label
2,0,"[114, 158, 100, 112, 123, 120, 118, 143, 107, 135]"
3,1,"[4, 2, 3, 1, 3, 4, 1, 5, 1, 4]"
4,2,"[7, 5, 3, 7, 2, 4, 0, 14, 4, 3]"
5,3,"[6, 1, 3, 4, 7, 7, 4, 7, 1, 2]"
6,4,"[2, 8, 3, 3, 5, 3, 8, 4, 4, 8]"
7,5,"[5, 2, 3, 4, 3, 4, 6, 3, 4, 2]"
8,6,"[0, 14, 1, 6, 5, 4, 5, 6, 4, 2]"
9,7,"[3, 1, 6, 5, 5, 4, 5, 4, 3, 3]"
10,8,"[2, 4, 2, 2, 1, 1, 5, 2, 3, 8]"
11,9,"[1, 10, 3, 3, 8, 6, 3, 8, 4, 6]"
12,10,"[3, 5, 2, 4, 0, 5, 3, 0, 2, 3]"
13,11,"[6, 7, 4, 6, 4, 8, 5, 7, 4, 6]"
14,12,"[6, 6, 3, 5, 3, 11, 5, 2, 4, 7]"
15,13,"[1, 3, 1, 1, 3, 4, 2, 3, 2, 3]"
16,14,"[3, 6, 5, 6, 3, 1, 0, 1, 1, 3]"
17,15,"[1, 0, 1, 2, 3, 4, 4, 2, 2, 3]"
18,16,"[3, 7, 2, 3, 4, 2, 4, 7, 4, 2]"
19,17,"[5, 5, 5, 3, 8, 6, 4, 6, 3, 6]"
20,18,"[3, 1, 4, 6, 2, 3, 2, 1, 2, 7]"
21,19,"[2, 4, 6, 3, 6, 2, 5, 5, 3, 3]"
22,20,"[2, 3, 2, 3, 3, 1, 3, 4, 3, 3]"
23,21,"[8, 10, 5, 5, 8, 3, 8, 6, 8, 7]"
24,22,"[2, 2, 2, 2, 7, 7, 8, 7, 7, 8]"
25,23,"[2, 6, 1, 3, 2, 5, 1, 5, 6, 6]"
26,24,"[2, 5, 1, 2, 5, 0, 0, 3, 4, 3]"
27,25,"[3, 7, 3, 5, 7, 3, 6, 6, 3, 5]"
28,26,"[2, 4, 4, 3, 3, 5, 3, 2, 4, 1]"
29,27,"[8, 7, 8, 4, 3, 2, 4, 10, 7, 2]"
30,28,"[3, 4, 5, 2, 3, 4, 1, 5, 4, 2]"
31,29,"[10, 9, 5, 4, 2, 3, 6, 3, 2, 8]"
