1,client_id,client_label
2,0,"[423, 515, 433, 438, 411, 421, 432, 524, 433, 441]"
3,1,"[4, 2, 3, 1, 3, 4, 1, 5, 1, 4]"
4,2,"[7, 5, 3, 7, 2, 4, 0, 14, 4, 3]"
5,3,"[6, 1, 3, 4, 7, 7, 4, 7, 1, 2]"
6,4,"[2, 8, 3, 3, 5, 3, 8, 4, 4, 8]"
7,5,"[5, 2, 3, 4, 3, 4, 6, 3, 4, 2]"
8,6,"[0, 14, 1, 6, 5, 4, 5, 6, 4, 2]"
9,7,"[3, 1, 6, 5, 5, 4, 5, 4, 3, 3]"
10,8,"[2, 4, 2, 2, 1, 1, 5, 2, 3, 8]"
11,9,"[1, 10, 3, 3, 8, 6, 3, 8, 4, 6]"
12,10,"[3, 5, 2, 4, 0, 5, 3, 0, 2, 3]"
13,11,"[6, 7, 4, 6, 4, 8, 5, 7, 4, 6]"
14,12,"[6, 6, 3, 5, 3, 11, 5, 2, 4, 7]"
15,13,"[1, 3, 1, 1, 3, 4, 2, 3, 2, 3]"
16,14,"[3, 6, 5, 6, 3, 1, 0, 1, 1, 3]"
17,15,"[1, 0, 1, 2, 3, 4, 4, 2, 2, 3]"
18,16,"[3, 7, 2, 3, 4, 2, 4, 7, 4, 2]"
19,17,"[5, 5, 5, 3, 8, 6, 4, 6, 3, 6]"
20,18,"[3, 1, 4, 6, 2, 3, 2, 1, 2, 7]"
21,19,"[2, 4, 6, 3, 6, 2, 5, 5, 3, 3]"
22,20,"[2, 3, 2, 3, 3, 1, 3, 4, 3, 3]"
23,21,"[8, 10, 5, 5, 8, 3, 8, 6, 8, 7]"
24,22,"[2, 2, 2, 2, 7, 7, 8, 7, 7, 8]"
25,23,"[2, 6, 1, 3, 2, 5, 1, 5, 6, 6]"
26,24,"[2, 5, 1, 2, 5, 0, 0, 3, 4, 3]"
27,25,"[3, 7, 3, 5, 7, 3, 6, 6, 3, 5]"
28,26,"[2, 4, 4, 3, 3, 5, 3, 2, 4, 1]"
29,27,"[8, 7, 8, 4, 3, 2, 4, 10, 7, 2]"
30,28,"[3, 4, 5, 2, 3, 4, 1, 5, 4, 2]"
31,29,"[10, 9, 5, 4, 2, 3, 6, 3, 2, 8]"
32,30,"[1, 3, 1, 6, 5, 2, 0, 2, 2, 2]"
33,31,"[5, 6, 3, 10, 3, 4, 1, 5, 5, 5]"
34,32,"[6, 5, 7, 5, 2, 6, 5, 4, 3, 6]"
35,33,"[5, 12, 5, 8, 2, 3, 5, 10, 9, 4]"
36,34,"[1, 2, 6, 6, 2, 6, 1, 3, 3, 1]"
37,35,"[5, 4, 5, 7, 6, 4, 4, 10, 6, 3]"
38,36,"[2, 4, 8, 4, 3, 2, 0, 4, 6, 1]"
39,37,"[3, 3, 3, 3, 6, 2, 2, 6, 2, 2]"
40,38,"[10, 8, 4, 6, 3, 7, 7, 5, 6, 5]"
41,39,"[4, 8, 5, 2, 5, 10, 3, 8, 4, 5]"
42,40,"[6, 4, 3, 8, 6, 7, 4, 4, 7, 6]"
43,41,"[0, 2, 3, 5, 7, 3, 2, 3, 2, 1]"
44,42,"[5, 5, 5, 3, 5, 3, 1, 6, 6, 5]"
45,43,"[5, 8, 9, 6, 3, 2, 8, 3, 6, 6]"
46,44,"[3, 1, 10, 0, 2, 2, 2, 3, 1, 4]"
47,45,"[6, 2, 3, 8, 4, 5, 4, 3, 1, 2]"
48,46,"[3, 4, 3, 6, 8, 5, 3, 4, 5, 3]"
49,47,"[5, 2, 4, 5, 6, 7, 8, 9, 2, 4]"
50,48,"[10, 8, 3, 3, 7, 10, 6, 5, 7, 2]"
51,49,"[4, 4, 4, 4, 4, 9, 4, 11, 5, 4]"
